==================================================
PÁGINA: 1.INCOME STATEMENT
==================================================
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Outlooks updates on LOM,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2026-02-05,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,,,,
,"Income Statement (millons ,excepto EPS)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,377.11,404.4,609.56,641.4,569.8,520,606.9,950.5,1300,1521,1779.57,2082.0969,2436.0533729999997,,,,,,,,,,,,,,
,2021 (H),264,660,336.8,1794,,,,,,,,Año,Oro −40%,Oro −30%,Oro −20%,Oro −10%,Base,Oro +10%,Oro +20%,Oro +30%,Oro +40%,Oro +50%,Oro +100%,,,,
,2022 (H),237,820,252.8,1811,,,,,,,,2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
,2023 (H),267,780,287,1958,,,,,,,,2026,x,x,x,x,x,x,ok,ok,ok,ok,ok,,,,
,2024 (H),227,860,326.9,2386,,,,,,,,2027,x,x,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,,
,2025 (P),245,1121,585.6,3800,,,,,,,,2028,x,x,x,x,x,ok,ok,ok,ok,ok,ok,,,,
,2026 (F),227,1375,747,3800,210,,,,,,,2029,x,x,x,ok,ok,ok,ok,ok,ok,ok,ok,,,,
,2027 (F),210,1425,826,3800,210,,,,,,,2030,x,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,,
,2028 (F),185,1525,1085,3800,165,,,,,,,,,,,,,,,,,,,,,,
,2029 (F),425,1525,1243,3800,425,,,,,,,,,,,,,,,,,,,,,,
,2030 (F),440,1525,1412,3800,440,,,,,,,,,,,,,,,,,,,,,,
,2031 (F),,,,,,,,,,,,,,,,,,,,,,,,,,,
,2032 (F),,,,,,,,,,,,,,,,,,,,,,,,,,,
,2033 (F),,,,,,,,,,,,,,,,,,,,,,,,,,,
,2034 (F),,,,,,,,,,,,,,,,,,,,,,,,,,,
,2035 (F),,,,,,,,,,,,,,,,,,,,,,,,,,,
,2036 (F),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,País,Mina(s),2025,2026,2027,2028,2029,2030,,,,,,,,,,,,,,,,,,,,
,Bulgaria,Chelopech / Ada Tepe,1,0.9,0.94,0.58,0.34,0.33,,,,,,,,,,,,,,,,,,,,
,Serbia,Čoka Rakita,0,0,0,0.2,0.4,0.39,,,,,,,,,,,,,,,,,,,,
,Ecuador,Loma Larga,0,0,0,0.18,0.23,0.26,,,,,,,,,,,,,,,,,,,,
,Bosnia,Vareš,<1%,0.1,0.06,0.04,0.03,0.02,,,,,,,,,,,,,,,,,,,,
,Total,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Año,Producción Oro (Koz),Precio Oro Base ($/oz),Sales Base ($M),Precio Oro +10% ($/oz),Sales +10% ($M),Δ Sales (+10% vs Base) ($M),,,,,,,,,,,,,,,,,,,,,
,2018 (H),155,1270,196.85,1270,196.85,0,,,,,,,,,,,,,,,,,,,,,
,2019 (H),214,1398,299.17,1398,299.17,0,,,,,,,,,,,,,,,,,,,,,
,2020 (H),248,1783,442.18,1783,442.18,0,,,,,,,,,,,,,,,,,,,,,
,2021 (H),264,1794,473.62,1794,473.62,0,,,,,,,,,,,,,,,,,,,,,
,2022 (H),237,1811,429.21,1811,429.21,0,,,,,,,,,,,,,,,,,,,,,
,2023 (H),267,1958,522.79,1958,522.79,0,,,,,,,,,,,,,,,,,,,,,
,2024 (H),227,2386,541.62,2386,541.62,0,,,,,,,,,,,,,,,,,,,,,
,2025 (P),245,3800,931,4180,1024.1,93.1,,,,,,,,,,,,,,,,,,,,,
,2026 (F),227,3800,798,4180,877.8,79.8,,,,,,,,,,,,,,,,,,,,,
,2027 (F),210,3800,798,4180,877.8,79.8,,,,,,,,,,,,,,,,,,,,,
,2028 (F),185,3800,627,4180,689.7,62.7,,,,,,,,,,,,,,,,,,,,,
,2029 (F),425,3800,1615,4180,1776.5,161.5,,,,,,,,,,,,,,,,,,,,,
,2030 (F),440,3800,1672,4180,1839.2,167.2,,,,,,,,,,,,,,,,,,,,,


==================================================
PÁGINA: 2.FLUJOS DE CAJA
==================================================
,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,"Cash flow Statement (millones ,excepto EPS)",,,,,,,,,,,,,
,EBITDA,99.5,140.4,319.32,336.85,252.87,287,326.93,585.6,826.68835,899.6155,1149.66675,1391.55875,1565.802
,Capex (introducir manual),98.97,58.970000000000006,33.34,60.35,65.39,52.33,40.33,88.3,95.6,85,70,65,60
,Ajuste leases,,3.4,4,10.2,13.6,3,5,7.3,8.541,9.99297,11.6917749,13.679376633,16.00487066061
,Intereses,3.112,4.429,2.106,1.3679999999999999,-4.154,-21.3,-33.1,-22.3,0,1.5,1.5,1.5,1.5
,Tasas,7.300000000000001,12.9,18.9,38.625,22.8,23.8,32.8,52.717,85.260882,91.46204759999999,118.695189492,144.47781000563998,161.5910292065988
,Minoritarios (si procede),0.58,0.94,1.14,0.28,,,,,0,0,0,0,0
