,ROA (Net income/ Activo),0.1798374520153551,0.20507042607145548,0.2821085278801885,0.15584163853397728,0.20359894261463354,0.2513276387953082,0.2727057305722673,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
,Net DEBT  (-) si es caja neta ,-54855,-61954,-47998,-30815,-47018,-48989,-52758,-41180,3597.600000000006,4173.216000000008,4840.930560000008,5615.47944960001,6513.956161536014, Dividend yield ,,0.003
,Deuda neta /EBITDA,-1.8452921586436573,-1.567146434624238,-0.877156432748538,-0.8188944990698911,-0.8116487424260733,-0.577169584580221,-0.5202927793326666,-0.3063411869806226,0.02522378727099057,0.025223787270990575,0.02522378727099057,0.025223787270990578,0.025223787270990585,,,
,Deuda neta/equity,-0.5428285866962218,-0.48292150596305244,-0.38435605666284967,-0.24512182510957498,-0.30697012430794945,-0.2682315193525956,-0.2718559665268517,-0.1694650205761317,0.012762877820349105,0.012762877820349109,0.012762877820349105,0.012762877820349109,0.012762877820349112,,,
,Enterprise Value ( EV ),,,,,,,-52758,1623702.12,1668479.7200000002,1669055.3360000001,1642634.1943288343,1616760.642595787,1591444.6028757696,,1. Recompra acciones,0
,EBITDA,29727,39533,54720,37630,57929,84878,101400.6,134425.28053730106,142627.27326984482,165447.63699302002,191919.25891190322,222626.34033780772,258246.55479185696,2. Dividends,,0
,EBIT,23986,32671,46753,28944,46751,69380,82860,110269.16528808432,114606.1795807534,132943.16831367396,154214.0752438618,178888.32728287968,207510.45964814042,,,0
,Net income,18485,29146,39370,23200,39098,62360,62370.399999999994,93269.16528808432,98319.038031063,114050.08411603307,132298.09757459836,153465.79318653414,178020.32009637955,,,-38659.868279845585
,FCF,9124,20893,28770,945,23231,40602,8911.000000000007,-17574.719462698937,-38659.868279845585,6304.5527953791425,43778.2812426398,77289.80624146215,108842.4152400961,,,
,Dividendos,,,,,,,,,,,,,,,,
,,3 YEARS,5 YEARS,,,,,,,,,,,,,,
,CAGR  by PER,0.1564958592516038,0.16670414994559712,,,PER+caja,,,707.213003304837,728.5732147387663,845.144929096969,996.5832601534872,1175.1572543650677,1385.7292488277915,Multiple PER,,
